name,website,phone,address
Hillel Realty Group,http://www.hillelrealtygroup.com,+17184177000,43 Myrtle Ave
REAL New York,http://www.realnewyork.com,+12122791289,164 Ludlow St 1st
Alpha Properties NYC,http://www.alphanyc.com,+12126741645,10 E 23rd St
"LoHo Realty, Inc.",https://www.lohorealty.com,+12123881115,"397 Grand St, New York, NY 10002"
Jeff Cohen Real Estate Agent New York City,http://www.jcny.com,+19144891450,"1033 2nd Ave, New York, NY 10022"
Platinum Properties,http://www.platinumpropertiesnyc.com,+12128250050,100 Wall St
Manhattan Realty Group,http://www.mrgnyc.com,+12124707070,211 E 43rd St
NY Empire Real Estate,http://www.nyempirerealestate.com,+17185200120,06 69th Ave
"Shabir Ahmad - Licensed Real Estate Agent in Brooklyn, NY",https://shabirahmad.us,+19293275878,"125 7th Ave, Brooklyn, NY 11215"
Lily Tran Team - Forest Hills Realtor with eXp Realty New York,https://www.lilytranteam.com,+19172790177,"Address: Groton St, Forest Hills, NY 11375, United States"
Magnetic Residential | Top NYC Real Estate Agents,http://magneticre.com,+16463025710,142 W 57th St
"New York Property Agent, Weimin Tan",https://www.castle-avenue.com,1000000014,641 Lexington Ave
"Urban Real Estate Property Group, Inc.",http://www.urbanapartmentsnyc.com,+12126883030,170 W 73rd St
Ryan Garson - The Garson Team at Compass,https://www.garsonteam.com,+15614050945,"111 5th Ave, New York, NY 10003"
de Tilly Real Estate,https://www.detillyrealestate.com,+13473788397,"36 2nd Pl, Brooklyn, NY 11231"
Nick Athanail - Corcoran Real Estate Agent Serving Manhattan and Brooklyn,http://www.nicknewyork.com,+18556425692,524 Broadway 3rd
Residential Real Estate Agent at Compass NYC Gavin Hammon,https://www.compass.com/agents/gavin-hammon,+19175950400,"110 5th Ave, New York, NY 10011"
"The Bizzarro Agency, New York Real Estate Agents",http://www.bizzarroagency.com,+19179792259,"8 W 126th St, New York, NY 10027"
"REAL ESTATE Agents near Midtown Manhattan, Queens NY",https://aarealestatenyc.com,+12124448708,575 5th Ave
Mayell Real Estate,http://mayellre.com,+19292202068,345 E 18th St
Prime Manhattan Realty,http://www.primemanhattan.com,+12122688043,35 W 36th St
Batra Group Real Estate,http://www.batrany.com,+16462021877,"79 Madison Ave, New York, NY 10016"
R New York,http://www.wernewyork.com,+12126881000,641 Lexington Ave
"Team FIT Powered by REAL Broker | New York City, NY",http://fitrealtyservices.com,+17182859585,"37 36th St 2nd fl, Astoria, NY 11106"
Karen Stone - New York City Real Estate,https://www.liveeatplayparkcity.com,+19178581261,Questions are often answered by the community within 20 minutes.
The Prince Team at The Corcoran Group Real Estate,http://princeteamnyc.com,+16465807362,"524 Broadway, New York, NY 10012"
City Stop Realty,http://www.citystoprealty.com,+19175824282,"204 W 84th St, New York, NY 10024"
New York One Real Estate Group,http://www.agarditeam.com,+17187552882,06 63rd Dr 1st
The Agency,https://www.theagencyre.com,+12122351123,88 University Pl 3rd
Highline Residential - Real Estate Brokerage,https://www.hlres.com,+12129608740,10 W 37th St
LC|NYC Team of Keller Williams NYC,https://www.lcnycteam.com,+19179358140,360 Madison Ave
Rachel Realty NYC,http://www.rachelrealtynyc.com,+19174171550,255 W 88th St
Bogard New York Team | SERHANT. Real Estate,http://www.bogardny.com,+16462018782,41 Wooster St
Montfort Real Estate,https://montfortre.com,+16469701078,"8 W 126th St, New York, NY 10027"
BT NY Realty,http://www.btnyrealty.com,+12124216408,245 E 50th St
Most NYC Realty 뉴욕부동산,http://www.mostnyc.com,+15187504670,325 W 38th St
Jacob Poore / Listing Agent / Buyers Agent,http://jacobpoore.realestate,+13474808178,601 W 151st St
Keller Williams NYC,https://kwnyc.com,+12123011140,360 Madison Ave
"Sovereign Associates Inc., Real Estate",http://sovereignrealestate.com,+16465599001,3135 Broadway
Brett McDermott NYC Real Estate Advisor,http://www.brettmcdermott.nyc,+18454990986,"1407 Broadway, New York, NY 10018"
SERHANT. - NYC Real Estate Agency,https://serhant.com,+16464807665,"372 W Broadway, New York, NY 10012"
Nate Brown | Expert Real Estate Agent & Advisor | Brooklyn - New York | Sale | Daniel Gale Sotheby’s International Realty,https://lnk.bio/6moo,+13473433797,"78 7th Ave, Brooklyn, NY 11217"
"MOVE NYC REAL ESTATE, LLC",http://schema.org/Place,+16466249373,"304 W 147th St, New York, NY 10039"
CRUM Residential LLC,https://crumgroup.com,+16468203446,211 E 43rd St
Jay Glazer Real Estate | The Glazer Team at The Corcoran Group,http://www.glazerteam.com,+16462465837,"524 Broadway, New York, NY 10012"
New York Casas Real Estate Management,http://nyc-rem.com,+19179670526,745 5th Ave
The Edry Team at Keller Williams NYC,https://www.theedryteam.com,+16467703379,360 Madison Ave
EZ NYC Realty,http://eznycrealty.com,+19179451886,"110 5th Ave, New York, NY 10011"
Silver Towers,http://www.silvertowers.com,+12124734242,"620 W 42nd St, New York, NY 10036"
The Creative Collective Team NYC,https://www.compass.com/agents/the-creative-collective-team,+19175173438,110 5th Ave 3rd
ELIKA Real Estate,https://www.elikarealestate.com,+12125900540,"101 Avenue of the Americas 9th Floor, New York, NY 10013"
Soler Realty NYC,https://solerrealtynyc.com,+19177103528,"1424 Williamsbridge Rd, Bronx, NY 10461"
"RI Manhattan Realty, Commercial Real Estate Services.",http://www.retail-officespace.com,+12125813003,"38 W 39th St, New York, NY 10018"
"William Bolls, Licensed Associate Real Estate Broker",https://www.compass.com/agents/william-bolls,+16462858197,"851 Madison Ave, New York, NY 10021"
Byson Real Estate Co.,https://www.byson.io,+16468281254,17 46th Rd
Mont Sky Real Estate,http://www.montskyrealestate.com,+16463978508,99 Wall St
Century 21 Scope Realty,http://c21scoperealty.com,+18889192508,375 5th Ave
Michael Bhagwandin - New York City - Compass Real Estate,https://michaelbhagwandin.com,+19179033843,"111 5th Ave, New York, NY 10003"
Elegran Real Estate,http://elegran.com,+12127295712,1407 Broadway
Kay Moon Real Estate - Corcoran,https://www.corcoran.com/real-estate-agents/detail/kay-moon/5503/regionId/1,+19175493889,387 Park Ave
New York Living Solutions @ Keller Williams NYC,http://www.nyls.net,+12129623940,"90 John St, New York, NY 10038"
Next Step Realty,http://www.thenextsteprealty.com,+16465681312,"4 E 8th St, New York, NY 10003"
"NYC RED GROUP, LLC",http://nycredgroup.com,+12124334733,"25 Queens Blvd APT 3K, Forest Hills, NY 11375"
Green Home NY REALTY LLC,http://greenhomesnyc.com,+12122130008,455 W 34th St
LEVEN Real Estate,http://www.leven.re,+19179670526,12 White St
NestApple,https://calendly.com/info-11349/phone-call,+18556378277,444 W 19th St
"The Raider Team at Real Broker, LLC. - Real Estate Agency in New York - Residential Realtors",https://theraiderteam.com,+19145239732,477 Madison Ave
Olga Mayayeva | Real Estate Broker-eXp Realty,https://www.realtorolga.com,+17187813074,"56 Groton St, Forest Hills, NY 11375"
The Kirsten Jordan Team,http://thekirstenjordanteam.com,+16312195548,590 Madison Ave
Broadway Realty,https://broadwayrealty.com,+12125772270,150 Broadway
